1,0
2,0
3,0
4,17
5,17
6,17
7,17
8,32
9,33
10,32
11,32
12,49
13,51
14,51
15,51
16,64
17,62
18,63
19,63
20,82
21,81
22,81
23,82
24,97
25,97
26,97
27,97
28,116
29,115
30,116
31,116
32,132
33,132
34,132
35,132
36,151
37,151
38,151
39,151
40,167
41,166
42,166
43,166
44,185
45,185
46,185
47,185
48,197
49,197
50,197
51,197
52,215
53,216
54,216
55,216
56,231
57,231
58,231
59,231
60,250
61,249
62,250
63,250
64,264
65,264
66,264
67,264
68,283
69,283
70,283
71,283
72,298
73,298
74,298
75,298
76,317
77,316
78,317
79,317
80,329
81,329
82,329
83,329
84,348
85,348
86,348
87,348
88,363
89,363
90,363
91,363
92,382
93,382
94,382
95,382
96,399
97,398
98,398
99,398
100,417
101,417
102,417
103,417
104,432
105,432
106,433
107,433
108,451
109,451
110,451
111,451
112,463
113,464
114,463
115,463
116,482
117,482
118,482
119,482
120,498
121,497
122,497
123,498
124,516
125,517
126,516
127,516
128,491
129,492
130,492
131,492
132,510
133,510
134,510
135,509
136,525
137,525
138,525
139,526
140,544
141,544
142,544
143,544
144,556
145,556
146,556
147,555
148,575
149,575
150,575
151,575
152,590
153,590
154,589
155,590
156,609
157,609
158,609
159,609
160,625
161,625
162,625
163,625
164,644
165,644
166,644
167,644
168,659
169,659
170,659
171,659
172,678
173,678
174,678
175,678
176,691
177,690
178,691
179,690
180,708
181,709
182,709
183,708
184,725
185,724
186,724
187,725
188,744
189,743
190,743
191,743
192,758
193,758
194,758
195,758
196,777
197,776
198,776
199,776
200,792
201,791
202,791
203,791
204,810
205,810
206,810
207,810
208,822
209,823
210,823
211,822
212,842
213,841
214,841
215,841
216,857
217,857
218,857
219,857
220,874
221,875
222,875
223,875
224,892
225,892
226,892
227,892
228,910
229,910
230,910
231,910
232,926
233,926
234,926
235,926
236,944
237,944
238,944
239,944
240,957
241,957
242,957
243,956
244,975
245,975
246,975
247,975
248,990
249,990
250,991
251,990
252,1009
253,1009
254,1009
1,0
2,0
3,0
4,17
5,16
6,16
7,17
8,32
9,32
10,32
11,32
12,50
13,51
14,51
15,51
16,62
17,64
18,63
19,62
20,81
21,81
22,83
23,82
24,97
25,96
26,97
27,97
28,116
29,116
30,116
31,115
32,132
33,132
34,132
35,132
36,151
37,151
38,151
39,151
40,166
41,166
42,166
43,166
44,185
45,185
46,185
47,185
48,197
49,197
50,197
51,197
52,215
53,216
54,216
55,216
56,231
57,231
58,231
59,231
60,249
61,249
62,250
63,250
64,265
65,264
66,264
67,264
68,283
69,283
70,283
71,283
72,298
73,298
74,298
75,298
76,317
77,317
78,317
79,317
80,329
81,329
82,329
83,329
84,348
85,348
86,348
87,348
88,363
89,363
90,363
91,363
92,382
93,382
94,382
95,382
96,398
97,398
98,399
99,398
100,417
101,417
102,417
103,417
104,433
105,433
106,432
107,433
108,451
109,451
110,451
111,451
112,464
113,464
114,464
115,464
116,482
117,482
118,482
119,483
120,497
121,498
122,498
123,498
124,516
125,516
126,516
127,516
128,491
129,492
130,491
131,491
132,510
133,510
134,510
135,510
136,525
137,525
138,525
139,525
140,544
141,544
142,544
143,545
144,556
145,556
146,556
147,556
148,575
149,575
150,575
151,575
152,590
153,590
154,590
155,590
156,609
157,609
158,609
159,608
160,626
161,625
162,625
163,625
164,644
165,644
166,644
167,644
168,660
169,659
170,659
171,659
172,678
173,678
174,678
175,678
176,690
177,689
178,690
179,690
180,708
181,709
182,709
183,709
184,724
185,724
186,725
187,724
188,743
189,743
190,743
191,743
192,757
193,757
194,757
195,758
196,776
197,776
198,777
199,776
200,792
201,791
202,792
203,792
204,810
205,810
206,810
207,810
208,823
209,823
210,822
211,822
212,841
213,842
214,841
215,841
216,857
217,857
218,856
219,856
220,875
221,875
222,875
223,875
224,892
225,892
226,891
227,892
228,911
229,910
230,910
231,910
232,927
233,926
234,925
235,926
236,944
237,944
238,944
239,945
240,957
241,956
242,957
243,958
244,976
245,975
246,975
247,975
248,991
249,991
250,991
251,991
252,1010
253,1009
254,1009

