0.00,0,0
0.00,0,0
0.00,0,0
0.00,0,0
0.00,0,0
0.01,0,0
0.01,0,0
0.01,1,0
0.01,1,0
0.02,1,0
0.02,2,0
0.02,2,0
0.03,3,0
0.03,3,0
0.03,4,17
0.04,4,18
0.04,5,17
0.05,6,17
0.05,6,17
0.06,7,16
0.07,8,32
0.07,9,32
0.08,10,32
0.09,11,32
0.09,11,32
0.10,12,51
0.11,13,51
0.12,14,51
0.13,15,51
0.13,17,63
0.14,18,63
0.15,19,63
0.16,20,82
0.17,21,81
0.18,23,81
0.19,24,97
0.20,25,96
0.21,27,97
0.22,28,116
0.23,29,116
0.25,31,116
0.26,32,132
0.27,34,132
0.28,35,132
0.29,37,151
0.31,38,151
0.32,40,167
0.33,42,166
0.34,43,166
0.36,45,185
0.37,47,185
0.38,49,198
0.40,50,197
0.41,52,216
0.43,54,216
0.44,56,231
0.46,58,231
0.47,59,231
0.48,61,250
0.50,63,250
0.52,65,264
0.53,67,264
0.55,69,283
0.56,71,282
0.58,73,298
0.59,75,298
0.61,77,317
0.63,79,317
0.64,81,329
0.66,83,329
0.67,85,348
0.69,88,363
0.71,90,364
0.72,92,382
0.74,94,382
0.76,96,398
0.78,98,398
0.79,100,417
0.81,103,417
0.83,105,432
0.84,107,432
0.86,109,451
0.88,111,451
0.90,114,464
0.91,116,482
0.93,118,482
0.95,120,498
0.97,123,497
0.98,125,516
1.00,127,516
1.02,129,491
1.03,131,492
1.05,134,510
1.07,136,526
1.09,138,526
1.10,140,544
1.12,143,544
1.14,145,556
1.16,147,556
1.17,149,575
1.19,151,575
1.21,154,590
1.22,156,609
1.24,158,609
1.26,160,625
1.28,162,624
1.29,164,644
1.31,166,644
1.33,169,659
1.34,171,659
1.36,173,678
1.37,175,678
1.39,177,690
1.41,179,690
1.42,181,708
1.44,183,710
1.45,185,724
1.47,187,724
1.48,189,743
1.50,191,743
1.52,193,758
1.53,195,758
1.54,196,776
1.56,198,776
1.57,200,792
1.59,202,791
1.60,204,811
1.62,205,811
1.63,207,810
1.64,209,823
1.66,211,822
1.67,212,841
1.68,214,841
1.69,216,856
1.71,217,856
1.72,219,857
1.73,220,874
1.74,222,876
1.75,223,875
1.77,225,892
1.78,226,891
1.79,227,891
1.80,229,910
1.81,230,910
1.82,231,910
1.83,233,925
1.84,234,926
1.85,235,926
1.86,236,945
1.87,237,944
1.87,239,944
1.88,240,957
1.89,241,956
1.90,242,957
1.91,243,956
1.91,243,957
1.92,244,975
1.93,245,975
1.93,246,975
1.94,247,975
1.95,248,991
1.95,248,991
1.96,249,990
1.96,250,991
1.97,250,991
1.97,251,990
1.97,251,990
1.98,252,1010
1.98,252,1009
1.98,253,1009
1.99,253,1009
1.99,253,1009
1.99,254,1009
1.99,254,1009
2.00,254,1009
2.00,254,1009
2.00,254,1009
2.00,254,1009
2.00,254,1009
2.00,255,1009
2.00,254,1009
2.00,254,1009
2.00,254,1009
2.00,254,1009
2.00,254,1009
1.99,254,1009
1.99,254,1009
1.99,253,1010
1.99,253,1009
1.98,253,1009
1.98,252,1009
1.98,252,1009
1.97,251,991
1.97,251,991
1.97,250,991
1.96,250,991
1.96,249,990
1.95,248,990
1.95,248,990
1.94,247,975
1.93,246,975
1.93,245,975
1.92,244,975
1.91,243,956
1.91,243,957
1.90,242,956
1.89,241,957
1.88,240,957
1.87,239,944
1.87,237,945
1.86,236,944
1.85,235,926
1.84,234,926
1.83,233,926
1.82,231,910
1.81,230,910
1.80,229,910
1.79,227,892
1.78,226,892
1.77,225,892
1.75,223,875
1.74,222,875
1.73,220,875
1.72,219,856
1.71,217,856
1.69,216,856
1.68,214,841
1.67,212,841
1.66,211,823
1.64,209,823
1.63,207,809
1.62,205,810
1.60,204,810
1.59,202,792
1.57,200,792
1.56,198,776
1.54,196,776
1.53,195,757
1.52,193,758
1.50,191,743
1.48,189,743
1.47,187,724
1.45,185,724
1.44,183,709
1.42,181,709
1.41,179,690
1.39,177,690
1.37,175,678
1.36,173,678
1.34,171,659
1.33,169,660
1.31,166,644
1.29,164,644
1.28,162,625
1.26,160,625
1.24,158,609
1.22,156,609
1.21,154,590
1.19,151,575
1.17,149,575
1.16,147,556
1.14,145,555
1.12,143,544
1.10,140,544
1.09,138,525
1.07,136,526
1.05,134,510
1.03,131,490
1.02,129,491
1.00,127,516
0.98,125,516
0.97,123,497
0.95,120,498
0.93,118,482
0.91,116,482
0.90,114,463
0.88,111,451
0.86,109,451
0.84,107,432
0.83,105,432
0.81,103,417
0.79,100,417
0.78,98,398
0.76,96,398
0.74,94,382
0.72,92,382
0.71,90,363
0.69,88,363
0.67,85,348
0.66,83,328
0.64,81,329
0.63,79,317
0.61,77,317
0.59,75,298
0.58,73,298
0.56,71,283
0.55,69,283
0.53,67,264
0.52,65,264
0.50,63,250
0.48,61,250
0.47,59,231
0.46,58,231
0.44,56,231
0.43,54,216
0.41,52,216
0.40,50,197
0.38,49,197
0.37,47,185
0.36,45,185
0.34,43,166
0.33,42,166
0.32,40,166
0.31,38,151
0.29,37,151
0.28,35,133
0.27,34,132
0.26,32,132
0.25,31,116
0.23,29,116
0.22,28,116
0.21,27,97
0.20,25,97
0.19,24,97
0.18,23,81
0.17,21,81
0.16,20,82
0.15,19,63
0.14,18,63
0.13,17,63
0.13,15,51
0.12,14,50
0.11,13,50
0.10,12,51
0.09,11,31
0.09,11,32
0.08,10,32
0.07,9,32
0.07,8,32
0.06,7,16
0.05,6,17
0.05,6,17
0.04,5,16
0.04,4,16
0.03,4,16
0.03,3,0
0.03,3,0
0.02,2,0
0.02,2,0
0.02,1,0
0.01,1,0
0.01,1,0
0.01,0,0
0.01,0,0
0.00,0,0
